lang,tweet_id,created_at,text,at_who
en,1330970942605041665,2020-11-23 20:26:15,Telecare just confirmed for me that the wait time for a call back from the Saint John Covid assessment centre is LONGER than the hour window promised when you request a test There is no revised timeline This is important information that was impossible to find publicly ,[]
en,1330970941329838081,2020-11-23 20:26:15,Private companies can do what they want You dont have the right to fly I can lose my job if I dont get the flu shot so Im sure itll be the same for covid ,"['@ProgPoker', '@AnthonySabatini']"
en,1330970940570824704,2020-11-23 20:26:15,Deluxe Two Button Folding Walker with Wheels Deluxe Folding Walker combines strength and durability with lightweight ease of use Shop NOW gt Deluxe Covid TWOButton Folding Durable lightweight ShopNOW Comfortable FolderWalker Omni,[]
en,1330970940562403332,2020-11-23 20:26:15,become member of COVID Community Champions in Dudley Borough have been helping people throughout the COVID pandemic I continuing to support the local community again just as did during the spring Champions can be anyone in the community dudleydailypause,[]
en,1330970940554047490,2020-11-23 20:26:15,South Florida family sues Publix over fathers Covid death after he was prohibited from wearing a mask at work,[]
en,1330970940243644417,2020-11-23 20:26:15,Covid lt Just a means to control for the Democrat globalists The recent comments coming from Trudeau Lightfoot and the president of WHO proves this is all bullsh t and millions are falling for it I certainly dont trust anything coming from this freak show ,['@WNEP']
en,1330970940080074752,2020-11-23 20:26:15,How much more depressed will you be when a family member dies of Covid they contracted at your Thanksgiving get together ,['@CurtisHouck']
en,1330970938368798720,2020-11-23 20:26:14,Turkey announced a record number of deaths from the coronavirus,[]
en,1330970937546731525,2020-11-23 20:26:14,I better not catch covid,[]
en,1330970937370533888,2020-11-23 20:26:14,Gov Brown says people should call police on COVID violators,[]
